game,action_group,label,n,pearson,pearson_p,spearman,spearman_p
air_raid,horizontal,Horizontal,12,-0.26045425157361635,0.41358577057438867,-0.3502632341691732,0.26434439552630823
air_raid,vertical,Vertical,12,nan,nan,nan,nan
air_raid,fire,Fire / Button,12,0.24510140848297549,0.442596797717128,0.3607711311942483,0.24928250596238008
air_raid,noop,Noop,12,-0.009560556328216667,0.976474935578679,-0.2556921609434964,0.422481142333308
assault,horizontal,Horizontal,12,-0.4406682691273989,0.15162208716392284,-0.574431704037444,0.050765334660570934
assault,vertical,Vertical,12,0.19164132909128426,0.5507269729942369,0.37127902821932357,0.2347366906291988
assault,fire,Fire / Button,12,0.19336949302036155,0.5470703086964577,0.37127902821932357,0.2347366906291988
assault,noop,Noop,12,0.22187158782520702,0.48827502502237147,0.2837132196770302,0.37150966693927856
beam_rider,horizontal,Horizontal,12,0.20790827415572022,0.5167155757496689,-0.03152369107522559,0.9225248645215405
beam_rider,vertical,Vertical,12,nan,nan,nan,nan
beam_rider,fire,Fire / Button,12,-0.4401050161227736,0.1522072446374052,-0.3467606018274814,0.2694793884630332
beam_rider,noop,Noop,12,0.49953190003634523,0.09821955822697195,0.39220733735384494,0.207306966059094
boxing,horizontal,Horizontal,12,-0.05992989746726762,0.8532202575300339,-0.10858160259244368,0.7369437083547932
boxing,vertical,Vertical,12,-0.354151166264857,0.2587114399987843,-0.33975533714409795,0.2799203496864415
boxing,fire,Fire / Button,12,0.36367534532287427,0.24521060703779762,0.29772374904379717,0.34729146092788776
boxing,noop,Noop,12,0.4673733949480666,0.12551523262696465,0.31674916417143134,0.31580167159163547
breakout,horizontal,Horizontal,12,-0.3574432519515924,0.25399688365017015,-0.3537658665108649,0.25926652867631444
breakout,vertical,Vertical,12,nan,nan,nan,nan
breakout,fire,Fire / Button,12,-0.23366375982933318,0.46482535063855607,0.12609476430090236,0.6961737926666621
breakout,noop,Noop,12,0.36851742939026594,0.23850943282755133,0.3537658665108649,0.25926652867631444
demon_attack,horizontal,Horizontal,12,0.2744587271433807,0.3879753370522133,0.4175464299643898,0.17683562352208243
demon_attack,vertical,Vertical,12,nan,nan,nan,nan
demon_attack,fire,Fire / Button,12,-0.30071585512356447,0.34223164406931017,-0.5272415875321528,0.0781544850554036
demon_attack,noop,Noop,12,0.14674872954895093,0.6490312291891152,0.5125641267962315,0.08839645659682009
fishing_derby,horizontal,Horizontal,12,0.32338966508980477,0.30519584385645515,-0.1331000289842858,0.6800638459197366
fishing_derby,vertical,Vertical,12,0.40665629947557297,0.18956513302408023,0.4518395720782334,0.14031277047271032
fishing_derby,fire,Fire / Button,12,-0.3358698058712652,0.28580953539501924,-0.31929824561403514,0.3117066711104011
fishing_derby,noop,Noop,12,-0.1748654822932493,0.5867360550383947,-0.3522966276642545,0.26138956518808537
freeway,horizontal,Horizontal,12,nan,nan,nan,nan
freeway,vertical,Vertical,12,0.9453357462414091,3.505769635420228e-06,0.9358880941772341,7.655321781163285e-06
freeway,fire,Fire / Button,12,nan,nan,nan,nan
freeway,noop,Noop,12,-0.9453357462414094,3.5057696354201584e-06,-0.9358880941772341,7.655321781163285e-06
gopher,horizontal,Horizontal,12,0.19874271503615398,0.5357660720313895,0.28320757726345364,0.3723997586241108
gopher,vertical,Vertical,12,nan,nan,nan,nan
gopher,fire,Fire / Button,12,0.053810331683308885,0.868086059923724,0.10974293618958829,0.7342195512298418
gopher,noop,Noop,12,-0.215265815722356,0.5016404514073378,-0.1062028414737951,0.7425322589549037
ice_hockey,horizontal,Horizontal,12,0.03268400330382337,0.919681163711646,-0.0035337674637010976,0.9913037639255571
ice_hockey,vertical,Vertical,12,0.41210957016843514,0.18312197600060745,0.6219430736113932,0.03082681425849714
ice_hockey,fire,Fire / Button,12,0.28701096936667586,0.36573185215351894,-0.01766883731850549,0.9565361899376668
